place_id,name,category,latitude,longitude,rating,reviews,price_level,description
ChIJeyzSOYS5yhQRZGbHU6N19lI,Hanzade Bosphorus Restaurant,Food,41.0146464,28.976796,4.8,17518,2,Tarihi yarımadada eşsiz deniz manzarası eşliğinde deniz ürünleri ve meze çeşitleri sunan şık bir mekan. 💡 Tüyo: Buranın imza tatlısını denemeden masadan kalkma!
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,Food,41.0040252,28.9725597,4.9,20258,2,Sultanahmet\
ChIJG2RjnWy5yhQRZj8hMugPem0,Hidden Garden Restaurant Sultanahmet,Food,41.006749,28.972428200000003,4.9,20416,2,"Adı gibi gizli bir bahçede, gürültüden uzak, samimi atmosferde geleneksel lezzetler. 💡 Tüyo: Akşam saatlerinde cam kenarı masalar için önceden rezervasyon yaptırmayı unutma!"
ChIJ4Vx5oJC5yhQR0viQ_FbPh-w,Mivan Restaurant Cafe,Food,41.0062206,28.969029499999998,4.9,8800,2,Güneydoğu Anadolu mutfağı ve özel kebaplarıyla Sultanahmet\
ChIJsYslLXe5yhQRxkEC4RsjM-s,Luco Restaurant Rooftop Sirkeci,Food,41.0126627,28.976935400000002,4.9,2486,3,Sirkeci\
ChIJpeXo6HG5yhQRbDRNOdPwA2A,Deraliye Rooftop Restaurant | Sultanahmet Terrace,Food,41.008848799999996,28.976164699999998,4.8,1818,3,Osmanlı saray mutfağını modern dokunuşlarla teras manzarasına taşıyan lüks restoran. 💡 Tüyo: Şefin spesiyal menüsünü veya günün tavsiyesini garsona mutlaka sor.
ChIJI-4ZD8C5yhQRAwWo7uBN1DI,Roof Mezze 360 Restaurant,Food,41.0137159,28.976900299999997,4.8,5571,2,"360 derece İstanbul manzarasına sahip, özellikle meze kültürü ve et yemekleriyle meşhur çatı mekanı. 💡 Tüyo: Yoğun saatlerde servis biraz yavaşlayabilir, ancak lezzet kesinlikle beklemeye değer."
ChIJv-kb2vXIyhQRfzZor6KT3iw,Gülhane Şark Sofrası,Food,41.010702900000005,28.977706599999998,4.8,2637,1,"Gülhane Parkı civarında geleneksel Anadolu sofrası kültürünü yaşatan otantik kebapçı. 💡 Tüyo: Yoğun saatlerde servis biraz yavaşlayabilir, ancak lezzet kesinlikle beklemeye değer."
ChIJ80p3Cqu5yhQRbH543PljQvc,Old İstanbul Rooftop Mezze & Seafood Restaurant,Food,41.013617599999996,28.9761973,4.9,1686,3,"Tarihi İstanbul silueti karşısında taze deniz ürünleri ve zengin mezeler sunan özel mekan. 💡 Tüyo: Yoğun saatlerde servis biraz yavaşlayabilir, ancak lezzet kesinlikle beklemeye değer."
ChIJpfAaheC5yhQRWDl3LVDNp04,Yeni Lokanta,Food,41.029531899999995,28.9756319,4.8,2473,3,Şef Civan Er\
ChIJgdiAGxq5yhQRalpXUqGFkDg,Ruvia Restaurant Sultanahmet,Food,41.0022727,28.978598500000004,4.8,1765,2,Sultanahmet\
ChIJfaNXSry5yhQRCtwvS7IzYdM,Seven Hills Restaurant,Food,41.0063995,28.979704299999998,4.5,17893,3,Ayasofya ve Sultanahmet Camii\
ChIJ54CM5Yi3yhQR2UiIkn19O7g,N\,Food,41.0341738,28.981591899999998,4.8,1757,2,N\
ChIJ2yEET6y5yhQRRdihv5HjxbY,Roofstar Bosphorus Lounge Restaurant,Food,41.0123446,28.9661275,4.9,4320,3,Boğaziçi\
ChIJ-ySeDyq5yhQRLn6A3rLltVc,GRACE Rooftop Restaurant,Food,41.0063021,28.973553499999998,4.7,5096,3,"Tarihi yarımadanın ışıklarında şık bir akşam yemeği için ideal nezih çatı restoranı. 💡 Tüyo: Yoğun saatlerde servis biraz yavaşlayabilir, ancak lezzet kesinlikle beklemeye değer."
ChIJ7bMVNGG3yhQRtW5c_ryodFQ,Hacı Abdullah Lokantası,Food,41.0354047,28.980224999999997,4.4,2434,1,1888\
ChIJQVRlxSV2iEARShvK2m23kQ0,Tarihi Sultanahmet Köftecisi Selim Usta,Food,41.0080082,28.9769068,4.1,10009,1,1920\
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,Food,41.004723,28.979098,4.8,26174,2,"Özellikle turistlerin gözdesi olan, güler yüzlü hizmeti ve enfes kebaplarıyla bilinen mekan. 💡 Tüyo: Yoğun saatlerde servis biraz yavaşlayabilir, ancak lezzet kesinlikle beklemeye değer."
ChIJQYK7QIe5yhQR_4dzoZS4AEQ,Sirkeci Lokantası 1912,Food,41.0155788,28.972410099999998,4.4,2771,1,Bir asırdan fazla süredir Sirkeci\
ChIJeZicrI63yhQRy6SwuJ6_aHI,Kanaat Lokantası,Food,41.0258263,29.016517099999998,3.7,6832,1,Üsküdar\
ChIJITjAreq5yhQRn-ktvDH98Us,Hocapaşa Lokantalar Sokağı,Food,41.0139777,28.975523,4.6,619,1,"Tarihi Sirkeci sokaklarında yan yana dizilmiş, dönerden kebaba sokak lezzetlerinin merkez üssü. 💡 Tüyo: Akşam saatlerinde cam kenarı masalar için önceden rezervasyon yaptırmayı unutma!"
